order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
75722,366,2025-10-29,58,2,66.68,133.36,Cancelled,
80185,2359,2026-04-05,209,9,184.36,1659.24,Completed,2026-04-09
19865,4853,2023-01-21,353,2,129.83,259.66,Pending,
76700,1822,2023-07-14,34,8,65.8,526.4,Completed,2023-07-14
92992,6628,2023-11-05,181,7,106.73,747.11,Pending,
76435,8376,2024-11-28,500,10,65.09,650.9,Completed,2024-11-30
84005,3232,2026-01-02,354,1,113.74,113.74,Cancelled,
80918,5061,2023-11-27,103,10,21.53,215.3,Completed,2023-11-30
60768,4928,2022-01-18,475,5,88.32,441.6,Completed,2022-01-22
50075,8777,2023-07-04,154,4,81.29,325.16,Cancelled,
27702,8237,2024-07-05,188,5,72.15,360.75,Completed,2024-07-10
42142,715,2023-06-26,213,8,84.32,674.56,Completed,2023-07-02
45081,2295,2025-08-25,54,5,7.59,37.95,Completed,2025-08-31
16639,4026,2022-10-15,372,1,190.0,190.0,Completed,2022-10-17
20425,5244,2024-08-19,158,6,103.88,623.28,Completed,2024-08-21
88703,808,2024-08-03,45,2,91.98,183.96,Completed,2024-08-09
150,2952,2025-04-26,,3,51.8,155.4,Completed,2025-04-30
1762,4852,2025-04-27,319,6,188.42,1130.52,Pending,
63121,2568,2023-08-03,171,5,88.6,443.0,Cancelled,
69162,4473,2024-02-27,23,4,140.11,560.44,Completed,2024-02-29
64884,8116,2023-03-04,424,10,61.8,618.0,Completed,2023-03-09
2496,3978,2026-04-10,343,4,33.18,132.72,Pending,
80297,9873,2025-08-22,367,10,2.25,22.5,Cancelled,
19448,315,2026-01-26,126,2,115.1,230.2,Cancelled,
41332,1792,2026-07-31,146,5,195.11,975.55,Completed,2026-08-06
14889,1560,2024-09-12,279,1,72.79,72.79,Completed,2024-09-19
88637,5179,2026-05-17,388,6,9.46,56.76,Completed,2026-05-19
94893,8556,2022-05-23,232,9,9.6,86.4,Completed,2022-05-29
92732,7292,2025-08-09,353,6,137.49,824.94,Pending,
