product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Purpose Brother,Automotive,388.11,230.8,700,158
2,Ago Site,Electronics,222.24,145.47,99,138
3,Face Election,Home & Garden,430.01,287.43,753,187
4,Dog Chair,Sports,350.2,175.61,107,193
5,Since Blue,Health & Beauty,51.62,26.23,50,144
6,Require Sit,Clothing,487.93,302.49,115,80
7,Wait Offer,Sports,381.76,162.55,460,124
8,Begin Performance,Clothing,394.1,250.23,620,91
9,Knowledge Almost,Health & Beauty,68.42,34.05,407,130
10,All Better,Food & Beverage,227.94,78.95,122,165
11,Discover Early,Sports,188.55,62.0,199,80
12,Mouth Play,Home & Garden,463.75,295.31,853,106
13,Agreement Option,Clothing,323.71,104.31,963,18
14,Decide Sense,Tools,412.27,169.96,755,150
15,Rate Science,Food & Beverage,224.49,97.35,103,103
16,Offer Kind,Home & Garden,117.48,43.37,820,97
17,Discussion List,Sports,279.52,118.95,692,111
18,Perform Fall,Health & Beauty,36.59,21.85,526,51
19,Table True,Health & Beauty,414.68,126.84,143,124
20,According Song,Sports,317.67,200.41,997,152
21,Sure Collection,Home & Garden,380.25,244.36,443,76
22,Save Knowledge,Food & Beverage,180.49,81.02,44,35
23,Grow Fall,Food & Beverage,485.5,175.48,210,83
24,Clearly Dinner,Toys,447.09,241.58,401,47
25,Source Great,Electronics,390.3,135.77,62,81
26,Blue Best,Sports,101.35,45.2,324,129
27,Husband Bill,Food & Beverage,236.03,161.3,468,31
28,Her Throw,Tools,26.68,18.63,949,152
29,Guy Pm,Toys,81.37,49.54,86,52
30,Everything Surface,Home & Garden,343.11,145.61,577,180
31,Animal Show,Toys,373.66,214.88,916,149
32,Machine Not,Clothing,483.92,281.72,806,62
33,Capital Win,Electronics,166.28,75.68,925,117
34,Human Bar,Food & Beverage,188.38,104.81,170,31
35,Old Finally,Tools,237.43,72.25,802,29
36,Themselves Production,Automotive,98.79,37.9,979,192
37,Present Value,Toys,69.31,35.35,326,163
38,Training High,Electronics,240.47,87.89,499,39
39,Participant Dark,Tools,117.32,42.98,531,63
